,FirstName,LastName,Gender,EmailAddress,revenue
7117,HALEY,COX,F,haley11@adventure-works.com,64.56
3609,CHLOE,HOWARD,F,chloe57@adventure-works.com,64.56
11271,LAUREN,RUSSELL,F,lauren66@adventure-works.com,64.56
11537,LOGAN,LOPEZ,M,logan46@adventure-works.com,64.56
6736,GEOFFREY,KAPOOR,M,geoffrey1@adventure-works.com,64.56
4523,DANA,CARLSON,F,dana11@adventure-works.com,64.56
7748,JACK,GRIFFIN,M,jack21@adventure-works.com,64.56
5805,EMILY,GARCIA,F,emily17@adventure-works.com,64.56
17605,WARREN,SHAN,M,warren41@adventure-works.com,64.56
4707,DAVID,DAVIS,M,david78@adventure-works.com,64.56
3069,CARLY,LAL,F,carly8@adventure-works.com,64.56
1989,BENJAMIN,JONES,M,benjamin35@adventure-works.com,64.56
11420,LINDA,RAMOS,F,linda32@adventure-works.com,64.56
4545,DANIEL,BROWN,M,daniel22@adventure-works.com,64.56
13578,NATALIE,YOUNG,F,natalie67@adventure-works.com,64.56
11810,LUKE,SHARMA,M,luke19@adventure-works.com,64.56
4719,DAVID,JAI,M,david63@adventure-works.com,64.56
1969,BENJAMIN,ANDERSON,M,benjamin44@adventure-works.com,64.56
6764,GEORGE,RANA,M,george17@adventure-works.com,64.56
71,ABIGAIL,ALEXANDER,F,abigail44@adventure-works.com,64.56
13164,MIGUEL,POWELL,M,miguel55@adventure-works.com,64.56
6992,GRANT,BECKER,M,grant22@adventure-works.com,64.56
1485,ANTONIO,ALEXANDER,M,antonio19@adventure-works.com,64.56
15797,SEBASTIAN,RICHARDSON,M,sebastian10@adventure-works.com,64.56
12684,MEAGAN,PEREZ,F,meagan19@adventure-works.com,64.56
2422,BRENT,ZHOU,M,brent8@adventure-works.com,64.56
7122,HALEY,GONZALES,F,haley36@adventure-works.com,64.56
13489,NAOMI,VAZQUEZ,F,naomi15@adventure-works.com,64.56
8815,JESSE,COOK,M,jesse22@adventure-works.com,64.56
10686,KENDRA,SUAREZ,F,kendra19@adventure-works.com,64.56
11577,LORI,NAVARRO,F,lori12@adventure-works.com,64.56
4459,DALTON,ROSS,M,dalton49@adventure-works.com,64.56
15666,SARAH,LEE,F,sarah24@adventure-works.com,64.56
4581,DANIELLE,RAMIREZ,F,danielle9@adventure-works.com,64.56
7990,JADA,RIVERA,F,jada8@adventure-works.com,64.56
12246,MARIA,RICHARDSON,F,maria12@adventure-works.com,64.56
342,ALBERT,SUAREZ,M,albert19@adventure-works.com,64.56
10240,KATHERINE,COLEMAN,F,katherine31@adventure-works.com,64.56
15733,SAVANNAH,WRIGHT,F,savannah43@adventure-works.com,64.56
16416,SUMMER,SULLIVAN,F,summer11@adventure-works.com,64.56
11546,LOGAN,PEREZ,M,logan38@adventure-works.com,64.56
16715,TASHA,RAJI,F,tasha21@adventure-works.com,64.56
962,ALYSSA,RODRIGUEZ,F,alyssa20@adventure-works.com,64.56
119,ABIGAIL,PETERSON,F,abigail19@adventure-works.com,64.56
11696,LUCAS,ROSS,M,lucas53@adventure-works.com,64.53999999999999
8965,JESSIE,ZHU,M,jessie18@adventure-works.com,64.53999999999999
5816,EMILY,LEE,F,emily22@adventure-works.com,64.53999999999999
12546,MASON,JAMES,M,mason9@adventure-works.com,64.53999999999999
1168,ANDREA,ROBERTS,F,andrea29@adventure-works.com,64.53999999999999
16058,SHAWNA,SHE,F,shawna0@adventure-works.com,64.53999999999999
16646,TAMMY,PATEL,F,tammy3@adventure-works.com,64.53999999999999
2649,BRUCE,DIAZ,M,bruce25@adventure-works.com,64.53999999999999
12126,MARCUS,LEE,M,marcus23@adventure-works.com,64.53999999999999
10502,KEITH,RAI,M,keith21@adventure-works.com,64.53999999999999
17412,VERONICA,MADAN,F,veronica8@adventure-works.com,64.53999999999999
344,ALBERTO,ALONSO,M,alberto9@adventure-works.com,64.53999999999999
13730,NELSON,MORENO,M,nelson6@adventure-works.com,64.53999999999999
11054,KYLE,WANG,M,kyle20@adventure-works.com,64.53999999999999
15832,SETH,BAKER,M,seth34@adventure-works.com,64.53999999999999
14881,RICHARD,SANDERS,M,richard83@adventure-works.com,64.53999999999999
11412,LINDA,GILL,F,linda29@adventure-works.com,64.53999999999999
11436,LINDSAY,JAI,F,lindsay11@adventure-works.com,64.53999999999999
13809,NICOLE,BROOKS,F,nicole45@adventure-works.com,64.53999999999999
6009,ERICK,PEREZ,M,erick21@adventure-works.com,64.53999999999999
12873,MELISSA,POWELL,F,melissa3@adventure-works.com,64.53999999999999
8285,JARED,SANDERS,M,jared5@adventure-works.com,64.47
17726,WILLIE,ANAND,M,willie41@adventure-works.com,64.47
15187,RONNIE,LIU,M,ronnie3@adventure-works.com,64.47
5907,EMMANUEL,ARUN,M,emmanuel6@adventure-works.com,64.47
4610,DANNY,RUIZ,M,danny2@adventure-works.com,64.47
5272,DONNA,SHE,F,donna1@adventure-works.com,64.47
11580,LORI,ROMERO,F,lori11@adventure-works.com,64.46000000000001
14107,OSCAR,GRIFFIN,M,oscar7@adventure-works.com,64.46000000000001
1843,AUSTIN,WILLIAMS,M,austin41@adventure-works.com,64.44
